company,id,number_of_board_memebers,average_age_board,total_active_assignments,total_active_assignments_star,total_prev_assignments,proportion_historic_defaults
Bastide Bygg AB,5569008997,2.0,47.0,7.0,6,52.0,0.0
ADAC AB,5564270170,2.0,62.0,2.0,1,2.0,0.0
Freemover Sweden AB,5568827371,2.0,49.0,2.0,1,0.0,0.0
Blidö Industrihus BIHAB AB,5563236792,4.0,56.0,5.0,4,3.0,0.0
Odensala Schakt & Bygglednings Teknik; ODT AB,5569731226,2.0,56.0,2.0,1,1.0,0.0
Botanium AB,5590875877,4.0,40.0,2.0,1,2.0,0.0
Venn Group AB,5592074495,3.0,43.0,5.0,4,20.0,0.0
Patrik Vestlund AB,5567939755,2.0,43.0,4.0,3,6.0,0.3333333333333333
Kazakoff Design AB,5566451364,2.0,61.0,3.0,2,6.0,0.0
Svenska Energitjänster AB,5590766241,4.0,49.0,4.0,3,4.0,0.0
Conada AB,5590293923,3.0,57.0,2.0,1,1.0,0.0
Riggert Projektstrategi AB,5590524020,3.0,57.0,2.0,1,1.0,0.0
Arsenalen Projekt AB,5568298847,2.0,41.0,4.0,2,0.0,0.0
Brunnsviken Byggservice AB,5591337208,2.0,49.0,5.0,4,5.0,0.0
TIRA Projekt & Bygg AB,5568761083,2.0,47.0,4.0,3,2.0,0.0
Byggbolaget Källden & Granath AB,5569081069,2.0,44.0,7.0,4,10.0,0.0
Dahlström Design AB,5565881330,2.0,66.0,5.0,4,5.0,0.0
Ls & Lz Entreprenad AB,5568943442,2.0,36.0,2.0,1,2.0,0.0
Samkonsult Group AB,5567045561,3.0,34.0,8.0,3,2.0,0.0
Björkstammen Projektutveckling AB,5591159495,2.0,47.0,3.0,2,21.0,0.0
DSBB Fastigheter AB,5590355532,3.0,54.0,2.0,1,1.0,0.0
CM Resurs AB,5568829088,2.0,41.0,2.0,1,3.0,0.0
Liljeng Entreprenad AB,5568493992,2.0,50.0,2.0,1,1.0,0.0
E Wendel Bygg AB,5569202962,2.0,33.0,2.0,1,1.0,0.0
AKAB Bygg & Glas AB,5591145577,2.0,33.0,3.0,2,1.0,0.0
TÄBY AUTOMATION AB,5567001556,2.0,58.0,2.0,1,5.0,0.0
KAAP STÄD & BYGG AB,5591487441,2.0,48.0,2.0,1,0.0,0.0
Ekerö Golvinteriör AB,5569100372,2.0,65.0,2.0,1,1.0,0.0
Winge Projektutveckling AB,5591246839,4.0,62.0,9.0,8,0.0,0.0
Möja Produktion Aktiebolag,5562358860,2.0,76.0,2.0,1,1.0,0.0
T. Daniels Entreprenad & Invest AB,5566327598,2.0,50.0,3.0,2,1.0,0.0
Torzab AB,5591300875,2.0,32.0,2.0,1,1.0,1.0
Veron Mark & Byggtjänster AB,5591288609,2.0,40.0,2.0,1,2.0,0.0
Knappelskär AB,5591733679,2.0,36.0,2.0,1,4.0,0.0
MultiFront AB,5591156202,3.0,53.0,2.0,1,1.0,0.0
Chorobat AB,5566152335,2.0,54.0,2.0,1,2.0,0.0
Detalj Arkitekter och Ingenjörer AB,5590166608,4.0,48.0,2.0,1,9.0,0.0
Ventdoc AB,5566482666,2.0,55.0,2.0,1,6.0,0.0
HEROB AB,5569252595,2.0,59.0,12.0,10,26.0,0.0
Smista Entreprenad AB,5569355273,4.0,44.0,5.0,4,4.0,0.0
Thomsen & Frank Byggentreprenad AB,5591554844,2.0,33.0,4.0,3,1.0,0.0
sthell ingenjör/arkitektbyrå AB,5569059610,2.0,54.0,2.0,1,6.0,0.0
HEJA HEYO AB,5568403561,2.0,46.0,2.0,1,1.0,0.0
Hannah Carlsson Grafisk Design AB,5568293715,2.0,43.0,2.0,1,4.0,0.0
MOLLTON AB,5591782668,2.0,39.0,6.0,5,3.0,0.0
Sorin Bygg & Måleri AB,5590637517,2.0,47.0,3.0,2,0.0,0.0
Grasso Mur & Puts AB,5590244835,2.0,46.0,5.0,4,1.0,0.0
Bygg- & Designgruppen BDG Elteknik AB,5590587324,3.0,39.0,7.0,6,2.0,0.0
DAE Konsult AB,5569650228,2.0,49.0,2.0,1,2.0,0.0
Apex Byggteknik AB,5569687766,2.0,34.0,2.0,1,3.0,0.0
Unica Projects AB,5569174955,3.0,56.0,2.0,1,8.0,0.0
Arkemi AB,5591606420,4.0,45.0,3.0,2,1.0,0.0
Henning Invest AB,5567505507,3.0,46.0,2.0,1,7.0,1.0
A Partners AB,5590517685,3.0,35.0,7.0,3,15.0,0.0
ABREU Design Studio AB,5591058531,2.0,39.0,2.0,1,2.0,0.0
Maiella Konsulting AB,5591537286,2.0,43.0,3.0,2,4.0,0.0
Villabesiktningar i Stockholm AB,5568993488,2.0,46.0,2.0,1,0.0,0.0
Axepta AB,5567798565,2.0,55.0,3.0,2,3.0,0.0
HP Geometric Stockholm AB,5569802308,2.0,49.0,4.0,1,6.0,0.0
K. Salonen Consulting AB,5590442538,2.0,36.0,2.0,1,1.0,0.0
Nordwell AB,5569439937,2.0,43.0,3.0,2,4.0,0.0
USV Inomhusmiljö Aktiebolag,5565482311,2.0,72.0,2.0,1,1.0,0.0
Väddö rör AB,5564877842,2.0,60.0,2.0,1,3.0,0.0
Mats Tellefors AB,5569527228,2.0,56.0,2.0,1,3.0,0.0
Hus & Hav Stockholm AB,5569014839,2.0,44.0,2.0,1,4.0,0.0
Ola Sjöstrand Konsult AB,5591332761,5.0,43.0,5.0,3,3.0,0.0
LG-Konsult Ingenjörsfirma Aktiebolag,5564889094,2.0,66.0,2.0,1,1.0,0.0
Tosund AB,5591048532,2.0,55.0,2.0,1,6.0,0.0
INRK Inredningskonsult AB,5568863657,2.0,42.0,2.0,1,1.0,0.0
HKM Måleri AB,5591386296,2.0,30.0,2.0,1,3.0,0.0
CO-Pilot Bygg & Projektledning AB,5566606413,3.0,53.0,5.0,4,23.0,0.25
Steele & Borough AB,5590286596,3.0,44.0,7.0,6,15.0,0.0
Korsnäset Entreprenad AB,5591525877,2.0,39.0,2.0,1,3.0,0.0
Annika Thelaus arkitektur & design AB,5569118622,4.0,43.0,3.0,2,0.0,0.0
JKB Projektutveckling AB,5590407457,2.0,52.0,3.0,2,1.0,0.0
Norrorts Vägprodukter Maskin AB,5590611249,2.0,45.0,2.0,1,11.0,0.0
Johan Axelsson Projekt AB,5591913297,2.0,51.0,3.0,2,5.0,0.0
steijner co create AB,5591323000,2.0,46.0,6.0,2,7.0,0.0
Riviära Team AB,5566690631,2.0,51.0,3.0,2,4.0,0.5
K Ståhl Projekt AB,5590693759,2.0,61.0,2.0,1,0.0,0.0
Andrén Stadsbyggnad AB,5590783196,2.0,67.0,2.0,1,2.0,0.0
Horisont projekt och miljö AB,5569905325,2.0,51.0,2.0,1,3.0,0.0
LOWD AB,5569148942,2.0,54.0,5.0,4,7.0,0.0
Piggott Ljungberg ENTREPRENAD AB,5591099964,3.0,40.0,3.0,2,1.0,0.0
Industriform Stockholm AB,5568659923,2.0,65.0,3.0,2,4.0,0.0
B&S byggledning AB,5590963897,2.0,42.0,2.0,1,4.0,0.0
Peter & Rusty AB,5590384623,2.0,47.0,2.0,1,2.0,0.0
Tre plattsättare AB,5567385215,2.0,48.0,2.0,1,2.0,0.0
PERRON ELTEKNISKA AB,5591606388,3.0,55.0,2.0,1,4.0,0.0
Aquabygg Entreprenad AB,5590487822,2.0,40.0,2.0,1,3.0,0.0
T. Vintheden AB,5590127436,2.0,37.0,2.0,1,5.0,0.0
Promised by Berglund AB,5568669823,2.0,51.0,2.0,1,17.0,0.0
2S Design AB,5591579437,4.0,53.0,2.0,1,1.0,0.0
Strombro AB,5568051261,2.0,48.0,4.0,3,5.0,0.0
Titt studio AB,5591940464,3.0,32.0,2.0,1,1.0,0.0
AB Gnue Kakel & Design,5568463805,2.0,67.0,2.0,1,2.0,0.0
Hus & Hem Wermdö AB,5567011704,2.0,47.0,3.0,2,17.0,0.0
Rinborg AB,5568343098,3.0,42.0,4.0,3,4.0,0.0
Johan Ström Byggkonsult AB,5591799688,4.0,43.0,2.0,1,0.0,0.0
Tomas Garnell Aktiebolag,5564816238,2.0,62.0,2.0,1,1.0,0.0
SweMa Mark & Bygg AB,5591641781,2.0,42.0,2.0,1,0.0,0.0
InfraMark Nordic AB,5569704215,2.0,36.0,2.0,1,5.0,0.0
Röda Ladan AB,5567419485,2.0,56.0,3.0,2,3.0,0.0
Francos Corner AB,5590371752,2.0,53.0,2.0,1,3.0,0.0
Korrektbygg AB,5569327363,3.0,43.0,2.0,1,1.0,0.0
Inredningsdesign Studio Stockholm AB,5591142509,3.0,48.0,2.0,1,7.0,0.0
Stockholm El-design AB,5569770844,3.0,30.0,6.0,5,6.0,0.0
Duvbo Plåtslageri Aktiebolag,5565022919,2.0,66.0,2.0,1,0.0,0.0
ELIBOO ELEKTRISKA AB,5568444896,2.0,56.0,2.0,1,5.0,0.0
Eero Koivisto Design AB,5567996284,2.0,55.0,4.0,3,2.0,0.0
Keijtec Solutions AB,5591219042,2.0,35.0,3.0,2,1.0,0.0
Steninge Hantverksservice AB,5567488829,2.0,62.0,3.0,2,8.0,0.0
Granne Byggservice AB,5591841332,2.0,58.0,2.0,1,0.0,0.0
R&CO Bygg AB,5568050842,3.0,45.0,2.0,1,0.0,0.0
Kakel Design Projekt i Stockholm AB,5566521604,2.0,66.0,2.0,1,4.0,0.0
Fargalt Aktiebolag,5562049089,5.0,66.0,9.0,8,3.0,0.0
Kakelsättarna Storstockholm AB,5591698633,2.0,59.0,2.0,1,1.0,0.0
Mordecai AB,5569987364,3.0,54.0,4.0,3,13.0,0.0
Vizant AB,5569967515,2.0,43.0,2.0,1,3.0,0.0
ZISSER TEXTILE DESIGN AB,5569961716,2.0,56.0,3.0,2,0.0,0.0
Vi.ar Totalentreprenad AB,5569318305,2.0,30.0,2.0,1,3.0,0.0
Aktiebolaget A38,5565463188,2.0,39.0,8.0,7,9.0,0.0
K7 Bygg & Montage Gruppen AB,5569590051,2.0,41.0,3.0,2,4.0,0.0
HTK Byggekonomi AB,5561327221,2.0,66.0,2.0,1,7.0,0.0
TUB Trafikutredningsbyrån AB,5568810351,3.0,57.0,2.0,1,3.0,0.0
Klingborn's VVS AB,5568957889,2.0,38.0,2.0,1,1.0,0.0
One We Like AB,5568122054,2.0,48.0,3.0,2,5.0,0.0
Arensa Invest AB,5568161573,3.0,49.0,2.0,1,7.0,0.0
ANDREJS PLATTSÄTTNING AB,5590821673,2.0,56.0,2.0,1,0.0,0.0
Måla om med Åström AB,5591774210,3.0,51.0,2.0,1,0.0,0.0
Swepro AB,5591917900,5.0,45.0,6.0,5,16.0,0.0
Mank Group Aktiebolag,5592154388,2.0,32.0,2.0,1,0.0,0.0
Carlia Design & Arkitektur AB,5569309346,2.0,59.0,2.0,1,5.0,0.0
Imola Utveckling AB,5590876461,3.0,47.0,75.0,42,53.0,0.0
Konferens & mediateknik i Stockholm AB,5564464039,3.0,41.0,2.0,1,3.0,0.0
DA Miljö- & Byggkonsult AB,5591548218,3.0,35.0,3.0,2,4.0,0.0
Brunkvist Kvalitets- och Målerikonsult AB,5560214941,2.0,64.0,2.0,1,4.0,0.0
Njuta Trädgård AB,5569049520,2.0,55.0,4.0,1,4.0,0.0
Hantverkarteamet i Stockholm AB,5568387442,2.0,51.0,3.0,2,4.0,0.0
Ontheway Aktiebolag,5563574770,2.0,62.0,2.0,1,5.0,0.0
08 Elteknik AB,5568613037,2.0,35.0,3.0,2,3.0,0.0
Esse Byggen AB,5565861902,2.0,69.0,2.0,1,2.0,0.0
Nomad Projekt AB,5567876619,2.0,56.0,11.0,9,21.0,0.1111111111111111
Anna Beer AB,5569499972,2.0,67.0,3.0,2,0.0,0.0
Enström Jönsson Aktiebolag,5591070635,3.0,34.0,4.0,2,1.0,0.0
Villa Hus o Hem i Strängnäs AB,5590530514,3.0,51.0,2.0,1,0.0,0.0
Davidson Billing Arkitekter AB,5564622784,4.0,69.0,2.0,1,2.0,0.0
C+W Branding AB,5592023336,3.0,42.0,5.0,2,15.0,0.0
Jasec Ställning AB,5591133961,2.0,68.0,4.0,3,1.0,0.0
Innocon AB,5590794755,2.0,46.0,2.0,1,0.0,0.0
K Rustas i Stockholm AB,5591551048,2.0,47.0,2.0,1,1.0,0.0
CB Solution AB,5569210569,2.0,56.0,4.0,3,1.0,0.0
STBK Stålbyggnadskontroll AB,5590689708,4.0,62.0,2.0,1,1.0,0.0
Reif konsult AB,5568217243,2.0,51.0,11.0,10,65.0,0.0
PM-Maint AB,5564863784,2.0,49.0,5.0,4,20.0,0.0
GMY Entreprenad AB,5569851628,2.0,45.0,2.0,1,2.0,0.0
ONEZET AB,5566495528,2.0,59.0,2.0,1,3.0,0.0
SURVEY MÄTKONSULT AB,5568412257,3.0,64.0,2.0,1,0.0,0.0
Modesty AB,5567566319,3.0,53.0,5.0,4,3.0,0.0
BC Entreprenad & Bygg AB,5590865209,2.0,47.0,6.0,5,6.0,0.0
Sthlm Niceinside AB,5566858329,2.0,41.0,2.0,1,11.0,0.0
AB Skancke Stockholm,5569597346,2.0,65.0,2.0,1,1.0,0.0
Fodral AB,5569539207,2.0,35.0,2.0,1,0.0,0.0
Broström Konsulting AB,5568232580,2.0,50.0,6.0,5,18.0,0.0
Dog Care Center Sweden AB,5568140858,3.0,57.0,3.0,2,3.0,0.0
NE Byggprojekt AB,5591711691,2.0,53.0,2.0,1,4.0,0.0
Calle Knegare Aktiebolag,5590915343,2.0,48.0,2.0,1,0.0,0.0
Thomas Sandell Arkitektkontor Aktiebolag,5563822955,2.0,73.0,20.0,19,16.0,0.0
Dreamhouse Värmdö AB,5590029376,2.0,42.0,3.0,2,1.0,0.0
Tungel Invest Aktiebolag,5561022442,3.0,49.0,12.0,11,3.0,0.0
Tibau Technology AB,5565095006,2.0,65.0,6.0,5,6.0,0.0
Green Line - Entreprenad AB,5590028766,2.0,44.0,2.0,1,4.0,0.0
SolcellenEllen AB,5590740030,4.0,58.0,5.0,3,9.0,0.0
Progressteknik Stockholm AB,5569782161,2.0,49.0,2.0,1,3.0,0.0
El & Industrimontage Tannergård Aktiebolag,5564788502,3.0,57.0,6.0,5,4.0,0.0
Matite Ekonomi & Handels Aktiebolag,5564423449,2.0,60.0,3.0,2,5.0,0.0
Ornö Dykservice AB,5590819727,2.0,46.0,2.0,1,0.0,0.0
Infrakonsult STHLM Väst AB,5592020779,5.0,40.0,7.0,5,6.0,0.0
Bällsta Byggteknik AB,5591580971,2.0,33.0,2.0,1,1.0,0.0
Grontmij AB,5565637237,3.0,51.0,6.0,5,25.0,0.0
Puls Nätservice El AB,5569746661,4.0,60.0,5.0,4,2.0,0.0
Sven Larssons i Harby AB,5567689962,3.0,47.0,2.0,1,0.0,0.0
HALLINGS ELEKTRISKA AB,5591701650,2.0,45.0,2.0,1,1.0,0.0
Axceco AB,5591688006,2.0,55.0,3.0,2,1.0,0.0
Fearless design AB,5568340698,3.0,46.0,3.0,2,1.0,0.0
WG EXAKT Byggnadsfirma AB,5590971130,3.0,39.0,2.0,1,2.0,0.0
MIBER Invest AB,5590898028,2.0,39.0,11.0,10,12.0,0.0
TradingSolutions Remarketing Center Sweden AB,5565557385,3.0,52.0,6.0,5,18.0,0.0
Inframontage AB,5569032880,3.0,69.0,18.0,17,48.0,0.0
Wesslén & Wesslén AB,5563957405,3.0,67.0,2.0,1,10.0,0.0
Grey Interior & Properties AB,5591330971,2.0,46.0,5.0,3,2.0,0.0
Johan Edström Projekt AB,5565527164,3.0,52.0,7.0,6,9.0,0.0
RVA Radar Väg Analys AB,5565672481,2.0,74.0,2.0,1,2.0,0.0
Skoeld Group AB,5566087051,2.0,61.0,6.0,5,21.0,0.0
kempe ljusdesign AB,5568384902,2.0,54.0,2.0,1,0.0,0.0
K.A.P.A. logistik AB,5568147697,2.0,53.0,2.0,1,1.0,0.0
J&C Railinvest AB,5590687108,3.0,48.0,9.0,8,5.0,0.0
Botkyrka Entreprenad i Tullinge AB,5569025389,2.0,50.0,5.0,4,0.0,0.0
Tgs Entreprenad AB,5591462022,2.0,46.0,2.0,1,2.0,0.0
Plussidan Byggtjänster AB,5569163487,2.0,46.0,2.0,1,3.0,0.0
SN Bygg och Förvaltning AB,5563438257,2.0,66.0,2.0,1,1.0,0.0
JMP Bygg & Förvaltning Sverige AB,5569018756,2.0,54.0,6.0,5,30.0,0.0
Undertak - och Fasadentreprenader Sverige AB,5560585837,3.0,56.0,4.0,3,28.0,0.0
Infrakonsult Mälardalen AB,5592021371,4.0,46.0,4.0,2,3.0,0.0
PROJ ARK AB,5567778138,2.0,58.0,3.0,2,0.0,0.0
MJ Golv AB,5591752588,2.0,42.0,2.0,1,1.0,0.0
TAMAC projekt AB,5592003403,3.0,36.0,2.0,1,0.0,0.0
CMV Logistic AB,5591755797,3.0,37.0,3.0,2,1.0,0.0
TryggaEl i Skandinavien AB,5569639270,2.0,58.0,2.0,1,2.0,0.0
AN mark & entreprenad AB,5591979520,3.0,31.0,10.0,8,3.0,0.0
True Products i Stockholm AB,5591940415,4.0,46.0,4.0,3,10.0,0.0
SR Elcentralen AB,5562466242,2.0,64.0,6.0,5,1.0,0.0
Markorama Entreprenad AB,5569710782,2.0,40.0,6.0,4,0.0,0.0
Ansvarsbesiktning Holding Aktiebolag,5566345939,4.0,51.0,3.0,2,9.0,0.0
Ljungskär AB,5568561715,2.0,53.0,14.0,12,13.0,0.0
Häger Bygg AB,5591710461,3.0,47.0,2.0,1,0.0,0.0
Profekt AB,5562122514,2.0,51.0,2.0,1,2.0,0.0
Vizualiserings Studion i Nässjö AB,5567528616,2.0,51.0,4.0,3,12.0,0.0
Jimmy Poopuu AB,5568766785,2.0,41.0,3.0,2,2.0,0.0
Vihem AB,5569642662,2.0,45.0,3.0,2,8.0,0.0
Castberg & Co AB,5568644644,2.0,38.0,3.0,2,5.0,0.0
Christina Breeze Design AB,5591498737,2.0,63.0,3.0,2,9.0,0.0
Stjärnklockan AB,5569865438,2.0,42.0,24.0,23,87.0,0.0
Gammelgårdens Hantverkare AB,5568825532,2.0,39.0,2.0,1,1.0,0.0
Designo Bygg och Arkitektur AB,5569776841,2.0,54.0,2.0,1,2.0,0.0
QCollective Development AB,5591306641,2.0,41.0,16.0,15,37.0,0.0
Arconte arkitektur AB,5591714901,2.0,65.0,2.0,1,4.0,0.0
Lars Stridh Konsult AB,5565738506,2.0,64.0,2.0,1,7.0,0.0
SH Stuck & Form AB,5590516687,2.0,62.0,2.0,1,4.0,0.0
Kangärde Design AB,5591027882,2.0,47.0,2.0,1,2.0,0.0
Marcus Olivetti Infraprojekt AB,5592037161,2.0,34.0,2.0,1,2.0,0.0
CM BYGG AB,5569322034,2.0,40.0,4.0,2,3.0,0.0
Andrén Arkitektur AB,5569439580,3.0,49.0,2.0,1,1.0,0.0
Niam Core-Plus Service AB,5569082174,3.0,46.0,32.0,31,32.0,0.0
Rextan Entreprenad AB,5591491252,1.0,35.0,3.0,2,4.0,0.0
Nilssons Hissproduktion AB,5569381410,2.0,30.0,2.0,1,2.0,0.0
Greyson AB,5568619877,2.0,57.0,2.0,1,7.0,0.0
mkm konsult AB,5568649833,2.0,61.0,2.0,1,0.0,0.0
KLF Consulting AB,5590575675,2.0,73.0,2.0,1,0.0,0.0
Vintervikens Installation AB,5592038144,4.0,43.0,3.0,2,5.0,0.0
Godahem Byggledare och Huskontroll AB,5568128085,2.0,51.0,2.0,1,3.0,0.0
NOVA TERRA AB,5566481247,4.0,40.0,2.0,1,2.0,0.0
Eklund Hus & Hem AB,5568418924,2.0,45.0,3.0,2,4.0,0.0
Hans Edblad AB,5591431803,1.0,59.0,4.0,3,8.0,0.0
Pintor Casa AB,5563715829,8.0,47.0,6.0,5,2.0,0.0
Magnus Wiström AB,5565402897,2.0,52.0,6.0,5,6.0,0.0
RST ELEKTRO AB,5569285025,2.0,50.0,4.0,1,10.0,0.0
Målerifirma Gunnar Gunnars Aktiebolag,5562579283,3.0,59.0,2.0,1,3.0,0.0
Thalin & Co Aktiebolag,5562250653,3.0,55.0,3.0,2,3.0,0.0
Roslagens bygg och stugor AB,5591888655,2.0,46.0,7.0,3,10.0,0.0
Ameme-Tornsberg AB,5569958514,2.0,55.0,2.0,1,7.0,1.0
RMT markkonsult i Stockholm AB,5591200299,2.0,37.0,2.0,1,5.0,0.0
FEN.9 Entreprenad AB,5568287915,2.0,34.0,2.0,1,11.0,0.0
Sahlin design AB,5590862479,2.0,58.0,2.0,1,3.0,0.0
Palmar AB,5590628540,3.0,55.0,2.0,1,2.0,0.0
Venn Management AB,5592098452,2.0,46.0,5.0,4,20.0,0.0
ESS Process AB,5569451445,2.0,38.0,4.0,3,4.0,0.0
Honey Design Stockholm AB,5568715246,2.0,50.0,4.0,2,4.0,0.0
Byggnadskvalitet Grimmer AB,5568983182,2.0,48.0,3.0,2,2.0,0.0
Kristoffer Östbergs Måleri AB,5590332804,3.0,44.0,2.0,1,4.0,0.0
Dive architects AB,5567164123,2.0,55.0,3.0,2,1.0,0.0
Salt and Syrup AB,5569308678,2.0,46.0,2.0,1,3.0,0.0
Celon Förvaltning AB,5569543878,2.0,48.0,37.0,36,63.0,0.0
Mörtnäs Bygg AB,5591030720,2.0,42.0,3.0,2,2.0,0.0
Arkitekt-& Projektledning JE Aktiebolag,5561403642,2.0,68.0,2.0,1,4.0,0.0
Axin Bygg AB,5590839527,2.0,32.0,4.0,3,0.0,0.0
Tälje Skadehantering AB,5590082979,2.0,65.0,2.0,1,3.0,0.0
Daynight Casual AB,5591052021,4.0,41.0,2.0,1,3.0,0.0
Farsta Berg AB,5568600505,2.0,43.0,2.0,1,6.0,0.0
Aterna AB,5569422016,2.0,49.0,2.0,1,6.0,0.0
Dehlin Brattgård Arkitekter AB,5590876529,3.0,38.0,2.0,1,1.0,0.0
Multimåleri i Stockholm Entreprenad AB,5590828306,2.0,58.0,2.0,1,4.0,0.0
Boureks Gräv & Trä AB,5569207490,2.0,40.0,2.0,1,1.0,0.0
Österman Bygg AB,5590354634,2.0,34.0,3.0,2,1.0,0.0
Skälsätra Invest Aktiebolag,5564391786,2.0,58.0,2.0,1,5.0,0.0
The Heads; Henrik Architecture & Development      Studio AB,5569056756,3.0,51.0,2.0,1,0.0,0.0
Team Gul & Blå AB,5569964728,2.0,61.0,2.0,1,1.0,0.0
Uppskruvat Svenska AB,5590682968,2.0,50.0,6.0,5,9.0,0.0
Consulting Invest Projekt i Sverige AB,5590936729,2.0,39.0,3.0,2,4.0,0.0
Sasa Antic Studio AB,5568652506,2.0,47.0,2.0,1,1.0,0.0
Aiverts Värme AB,5563522209,3.0,38.0,3.0,2,1.0,0.0
Axtelius Real Estate AB,5567289714,3.0,44.0,8.0,5,9.0,0.0
Projektutveckling i Roslagen AB,5566790167,3.0,51.0,9.0,8,1.0,0.0
Intacto byggnadsställningar AB,5568953003,3.0,43.0,4.0,3,4.0,0.0
Norrlandspojkarna Entreprenad AB,5566675889,3.0,66.0,2.0,1,11.0,0.0
An-co Byggkonstruktion Aktiebolag,5565571527,2.0,75.0,3.0,2,1.0,0.0
KIA Mark & Miljöentreprenader Aktiebolag,5563372050,2.0,43.0,2.0,1,4.0,0.0
Danielssons Entreprenad Aktiebolag DEAB,5562999192,2.0,64.0,8.0,7,18.0,0.0
Skirner AB,5565636940,5.0,60.0,8.0,7,38.0,0.0
AR Arkitekter AB,5568205818,3.0,60.0,3.0,2,2.0,0.0
Kolman Boye Architects AB,5569437709,3.0,48.0,6.0,4,4.0,0.0
LipFish AB,5567321244,2.0,48.0,3.0,2,4.0,0.0
Solvision AB,5591855068,4.0,42.0,3.0,2,2.0,0.0
M & M Almkvist Fastigheter AB,5569473977,2.0,40.0,4.0,2,17.0,0.0
DD VVS TEKNIK AB,5569804536,2.0,37.0,4.0,2,2.0,0.0
Bollsta Byggnadsställningar AB,5591563233,2.0,51.0,3.0,2,7.0,0.0
Ventigo AB,5569653941,2.0,47.0,2.0,1,9.0,0.0
E.P.M. Elektra Plåt och Maskin Aktiebolag,5565353017,2.0,59.0,6.0,5,4.0,0.0
Effektoptimering Stockholm AB,5591583330,3.0,46.0,5.0,4,3.0,0.0
User Focus AB,5591155535,2.0,37.0,2.0,1,0.0,0.0
Strombro Building Workshop AB,5569213712,2.0,48.0,4.0,3,5.0,0.0
Knuff Sjöentreprenad AB,5565407896,2.0,55.0,6.0,5,4.0,0.0
Panos Lazaridis Bygg & Konsult AB,5568630577,2.0,51.0,2.0,1,2.0,0.0
Byggmatte Ekerö AB,5568405921,2.0,57.0,2.0,1,2.0,0.0
GRETA GRAM AB,5590679998,3.0,37.0,4.0,1,2.0,0.0
VVS Montage i Starrkärr AB,5590719034,2.0,68.0,3.0,2,4.0,0.0
Creative Social Club AB,5569602989,3.0,50.0,2.0,1,0.0,0.0
Eljakonomi AB,5591984876,2.0,39.0,3.0,2,5.0,0.0
12ans & Ubonér AB,5568254147,2.0,54.0,2.0,1,5.0,0.0
Reuma Utveckling AB,5564918638,3.0,66.0,4.0,3,6.0,0.0
JB BAD & BYGG AB,5569197949,2.0,44.0,3.0,2,0.0,0.5
Svensk Rörinspektion Bo Svensson Aktiebolag,5563401073,2.0,43.0,2.0,1,2.0,0.0
EL 365 AB,5568449499,2.0,36.0,2.0,1,1.0,0.0
Renast Älvsjö AB,5590389325,2.0,44.0,4.0,3,3.0,0.0
Södertörns Asfalt & Mark AB,5567232086,2.0,52.0,2.0,1,2.0,0.0
AE Drilling and Construction AB,5568607401,2.0,47.0,2.0,1,0.0,0.0
Saltsjöbadens Entreprenad AB,5567145130,2.0,54.0,2.0,1,1.0,0.0
Advercity Infrastructure and City Consultants AB,5590258025,2.0,37.0,8.0,3,10.0,0.0
Bymont AB,5591174122,2.0,33.0,3.0,2,2.0,0.0
Generon-HUS AB,5590396866,2.0,34.0,4.0,3,4.0,0.0
Claes Lundh System & Installation Aktiebolag,5563041788,3.0,61.0,2.0,1,1.0,0.0
Byggeffekt Sverige AB,5591302699,4.0,29.0,2.0,1,1.0,0.0
Kanbåge Eltjänst AB,5569123903,2.0,51.0,3.0,2,2.0,0.0
Stockholms El & Kyla AB,5591723746,2.0,46.0,2.0,1,2.0,0.0
Pahlfer Inredning AB,5569226896,5.0,42.0,4.0,3,7.0,0.0
Stockholm Alltjänst Problemlösning AB,5569187098,2.0,49.0,4.0,3,2.0,0.0
Tillsammans Projektledning AB,5590265400,3.0,44.0,7.0,6,9.0,0.0
S.Novogruppen i Stockholm AB,5591269716,3.0,50.0,4.0,3,2.0,0.0
Fopha Invest AB,5591174890,3.0,50.0,4.0,3,7.0,0.0
MPG Group AB,5591140057,3.0,49.0,32.0,23,33.0,0.0
Electro-Tek Stockholm AB,5590055173,3.0,54.0,5.0,3,4.0,0.0
TMT Gräv & Entreprenad AB,5566328638,2.0,55.0,2.0,1,1.0,0.0
Patriam AB,5569116394,3.0,40.0,38.0,37,50.0,0.0
JANNES VENT AB,5569184566,2.0,47.0,5.0,4,5.0,0.0
Celon Entreprenad AB,5563732824,2.0,48.0,37.0,36,63.0,0.0
Tommy Henricson VA-projekt AB,5569742082,2.0,62.0,2.0,1,2.0,0.0
G-W Studios AB,5591903249,4.0,34.0,3.0,2,3.0,0.0
Repexpressen AB,5567159248,2.0,45.0,3.0,2,5.0,0.0
Bernow & Partners Arkitekter AB,5569068884,3.0,49.0,2.0,1,2.0,0.0
EK & LIND BYGG AB,5569675555,2.0,41.0,4.0,3,4.0,0.0
GEP Group AB,5566518238,4.0,59.0,2.0,1,7.0,0.0
Hawila Projekt AB,5591940738,2.0,47.0,3.0,2,20.0,0.0
Comodo Real Estate AB,5561197095,3.0,44.0,19.0,17,20.0,0.0
VY Indoor Professional AB,5566549480,3.0,58.0,3.0,2,6.0,0.0
Thorsell Konstruktion Aktiebolag,5563258168,2.0,52.0,3.0,2,6.0,0.0
