company,id,number_of_board_memebers,average_age_board,executives,total_active_assignments,total_prev_assignments,companies
Grand Nordic Byggteknik AB,5591962963,2,34,Fredhav; Dennis,3,2,Fredhav Invest AB|Grand Nordic Byggteknik AB|Fredhav byggkonsult AB
Alvne Bygg AB,5592091747,3,52,Andersson; Elis Gustav Henning,2,1,Alvne Bygg AB|Fastighetsbolaget Mörtväten AB
Niklasson Lojsta Bygg AB,5569764862,2,65,Niklasson; Nils Lennart,3,2,Niklasson Lojsta Bygg AB|Bjers Gård Aktiebolag|Frans Degermans Handelsaktiebolag
Niklasson Lojsta Bygg AB,5569764862,2,65,Bengtsson; Ingalill Elsa Olivia,2,3,Niklasson Lojsta Bygg AB|Bjers Gård Aktiebolag
HI Fönster Innovation AB,5568664931,2,41,Themer Isgren; Dan Johan Henrik,3,5,HI Fönster Innovation AB|Bostadsrättsföreningen Blåelden 1|Henrik Isgrens Bygg AB
Adjutor AB,5569100323,3,50,Jakobsson; Allan Tommy,1,2,Adjutor AB
Adjutor AB,5569100323,3,50,Jakobsson; Jeanette Andr‚a,1,2,Adjutor AB
Bygg & Fastighets Optimering i Stockholm AB,5567509152,2,67,Eriksson; Christian,3,5,Ann-Katrin Eriksson Holding AB|Christian Eriksson Holding AB|Bygg & Fastighets Optimering i Stockholm AB
Astuen AB,5591394795,2,71,Nilsson; Håkan Stefan Rudolf,1,0,Astuen AB
Astuen AB,5591394795,2,71,Nilsson; Ingegerd Metha Margaretha E,1,0,Astuen AB
Bygghuset på Gotland AB,5564750437,3,64,Hederstedt; Gustav Andréas Petter,8,8,Gotlandia Mark Aktiebolag|FishYourDream AB|Tjuonajokk AB|Ammarnäs Wärdshus Aktiebolag|Låssmeden 3 AB|Bygghuset på Gotland AB|FYD Holding AB|Gotlandia Holding AB
Kullens Fastighet på Gotland AB,5566232079,5,61,Berggren; Ulf Göran,3,14,Kullens Fastighet på Gotland AB|Grannlaget Aktiebolag|Langkeik AB
Testrum Aktiebolag,5561794776,2,76,Gyllenberg; Per Vilhelm,2,2,Per och Sanna på Häglajvs Handelsbolag|Testrum Aktiebolag
Palmqvist Golv & Interiör Aktiebolag,5563773638,2,70,Palmqvist; Sven Wilhelm Lennart,2,1,WILLE PALMQVIST GOLV & MATTLÄGGERI|Palmqvist Golv & Interiör Aktiebolag
Byggnadsaktiebolaget Jan Eriksson,5561791624,2,75,Eriksson; Jan Anders,3,5,JE Förvaltning i Visby AB|Fastigheten Vibble 1:79 AB|Byggnadsaktiebolaget Jan Eriksson
Kamander AB,5568251077,3,52,Falkemo; Karin Carolina,2,4,Sakander AB|Kamander AB
COMAI AB,5566855630,2,47,Christiansson; Tove Emma Caroline,5,2,Abilia Aktiebolag|Somna AB|Cardiolex Medical AB|Abilia Sverige Holding AB|COMAI AB
Property Foundations i Visby AB,5590881248,2,54,Björkqvist; Göran Lars Mårten,2,0,Property Foundations i Visby AB|WindEye AB
DB Gotland AB,5565413738,2,51,Sundström; Dan Bertil,1,1,DB Gotland AB
Byggnadshyttan Sverige Aktiebolag,5569135014,5,58,Boström; Kaj Björn Bertil,2,0,Byggnadshyttan Sverige Aktiebolag|Byggnadshyttan Kalk & Bygg AB
Kim Modigs måleri & städ AB,5569516502,2,38,Palm Modig; Kim Anders Robert,3,1,Klinte Färg & Golv AB|Kim Modigs måleri & städ AB|Kim modigs måleri
M & I Britts AB,5590575204,2,53,Britts; Sven Ingemar,1,4,M & I Britts AB
M & I Britts AB,5590575204,2,53,Britts; Maria Birgitta,1,0,M & I Britts AB
Berge Renovering AB,5590521505,3,50,Kotz Berge; Annchristin,1,0,Berge Renovering AB
Berge Renovering AB,5590521505,3,50,Berge; Victoria Anna Cristina,3,5,Kalk Hotel AB|Berge Renovering AB|Gotlands Besöksnäring AB (svb)
Arkitekt Stensson Aktiebolag,5564302734,3,42,Stensson; Pål Anders,2,7,Arkitekt Stensson Aktiebolag|HSB Bostadsrättsförening Grenadjärparken i Örebro
Joseppa AB,5569389678,2,40,Åkerström Nasser; Åsa Josefin,2,1,Stenkyrka Folketshusförening u.p.a|Joseppa AB
PopUp Hotels AB,5591354351,3,60,Albrecht; Roger Philipp,4,8,Kvalitetshem Gotland AB|Företagshjälp Gotland AB|PopUp Hotels AB|Ämbyl AB
Gurra Gustafsson Byggentreprenad AB,5591699284,2,65,Gustafsson; Gurra,2,7,Byggentreprenad S-Å Gustafsson|Gurra Gustafsson Byggentreprenad AB
Munkskrinet Aktiebolag,5564769627,2,64,Hultberg; Claes Allan Krister,6,6,Miljö i Roma AB|Bildstenen AB|Hålteknik i Visby AB|Knutpunkt Hemse Utveckling AB|Roma Betongproduktion Handelsbolag|Munkskrinet Aktiebolag
Gute El & Mek Aktiebolag,5564505781,2,77,Ekström; Karl-Erik Ingvar,3,0,Ekevikens Camping Fårö AB|Gute El & Mek Aktiebolag|Gutens El
GBT Scandinavia AB,5568001142,4,51,Ringbom; William Robert,13,9,BRS Networks AB|NEZ AB|Haga Invest AB|BRS International AB|Gotlands Idrotts Center Aktiebolag|Boviken Utveckling AB|Sigurd Margareta AB|Vaultige AB|GBT Scandinavia AB|NEZ HOLDING AB|Bookeasy AB|Haga Norr på Gotland AB|BRS Holding AB
Motionworx i Visby AB,5565558524,2,66,Gezelius; Evert Olof,11,18,Haga Invest AB|Gotlands Idrotts Center Aktiebolag|Boviken Utveckling AB|Sigurd Margareta AB|Intron Gotland Service Aktiebolag|GAME Invest|LRG Invest AB|Haga Mark & Fastighets AB|GBT Scandinavia AB|Motionworx i Visby AB|Haga Norr på Gotland AB
HBJ Byggkonsult AB,5568098544,2,78,Carnell; Hans Bengt Jörgen,1,3,HBJ Byggkonsult AB
Ateljéprogram Sundre AB,5568470958,2,63,Grieves Fridh; Maria Elisabeth,3,5,Ateljéprogram Sundre AB|Maria Fridh Ateljeprogram Enskild Firma|Storsudrets Fiber AB
Helgessons Gräv VBY AB,5591568034,4,48,Helgesson; Tomas Leif Ingemar,2,1,Helgessons Gräv VBY AB|HELGESSONS Reparationer
Rune Nilsson - Ronqvist El Aktiebolag,5564322047,2,73,Ronquist Nilsson; Rune Ebbe,2,1,Visby Fri Sjöhorisont Fastighetsaktiebolag|Rune Nilsson - Ronqvist El Aktiebolag
Othem Invest AB,5568212798,3,44,Berglund; Per Erik Victor,2,1,Grävsnabben Aktiebolag|Othem Invest AB
Gotlands Eko Invest AB,5590299912,2,61,Nyström; Per-Erik,2,4,Gotlands Gurpe Hus & Bygg AB|Gotlands Eko Invest AB
BIERS GNISVÄRD AB,5590838560,4,70,Öjerstam; Bengt,2,2,BIERS GNISVÄRD AB|Byggdesign Gotland AB
BIERS GNISVÄRD AB,5590838560,4,70,Persson; Classe,3,4,Debris Gotland AB|BIERS GNISVÄRD AB|Debris Handelsbolag
Knut Olsson Fastigheter AB,5560599721,6,58,Hillström; Amlis Marie,8,11,Knut Olsson Fastigheter AB|Bagarbo Fastighetsförvaltning AB|Sigga Förvaltning AB|Lona-Maria Invest AB|Amlis Invest AB|Göran & Marie AB|Bostadsrättsföreningen Engelen|Hillström på holmen AB
Kungegården Förvaltning AB,5566345491,3,65,Andersson; Ulf Göran Samuel,5,15,Nefast AB|UGF Förvaltnings AB|Kungegården Förvaltning AB|Nefast Holding AB|Nils Ericsons Förvaltning AB
Lagerbutiken i Stockaryd AB,5568744071,3,55,Trofast; Mattias Karl Gustav,3,0,Lagerbutiken i Stockaryd AB|Förskolan Tingeling AB|Ljung Racing AB
Listuddens Förvaltning AB,5567040414,nan,nan,Thunberg; Maximillian,1,10,European CC holding UK Filial
Läktarproffs Fastighets Aktiebolag,5564613429,2,64,Vikström; Ulf Ola,13,7,Nordriv AB|Läktarproffs Fastighets Aktiebolag|Läktarproffs Event i Sundsvall AB|Läktarproffs i Sundsvall AB|AAIFASTIGHETER AB|Läktarproffs Entreprenad i Sundsvall AB|Modul VI Byggproduktion AB|Läktarproffs Bygg & Entreprenad Holding i         Sundsvall AB|Läktarproffs Dingersjö AB|Läktarproffs Holding Norr AB|Lp Fastigheter Holding AB|Läktarproffs Invest Holding AB|LP Rivning AB
Läktarproffs Fastighets Aktiebolag,5564613429,2,64,Vikström; Caroline Maria,6,0,Läktarproffs Fastighets Aktiebolag|Modul VI Byggproduktion AB|Läktarproffs Bygg & Entreprenad Holding i         Sundsvall AB|Läktarproffs Dingersjö AB|Lp Fastigheter Holding AB|Läktarproffs Invest Holding AB
MAGF BYGG AB,5567939847,nan,nan,Niedziolka; Maciej,1,3,FILIP&GABRIEL BYGG AB
Magne Care AB,5567152243,4,49,Fernqvist; Hans Magnus Ludvig,9,14,Ljusdal Fastigheter AB|Fastighetsaktiebolaget Seglet|Magne Care AB|HF Omsorgsfastigheter AB|Magne Omsorgsfastigheter AB|Magne Estate Aktiebolag|Magne Invest AB|Magne Näringsfastigheter AB|Magne Fastigheter AB
Manflex AB,5569320616,nan,nan,Rosvold; Erik Christoffer,5,19,Elfirman i Norrlandsporten AB|Elfirman i Norrland AB|MR Hästens AB|Sverre Mark & Maskin AB|The Chick and Duck AB
Mediateknik i Varberg AB,5561769661,7,61,Carlstein; Björn Martin,9,10,Mediateknik i Varberg AB|IP Delivery Group Scandinavia AB|Meto Fastighet AB|Mediateknik Installation i Varberg AB|Carlstein & Johansson Group AB|Carlstein Invest AB|Bostadsrättsföreningen GÄSTGIVAREN|Olle Hällnäs Holding AB|Carlstein & Johansson Holding AB
MHT Takentreprenören i Malmö Aktiebolag,5561702340,3,52,Grähs; Ingrid Charlotta,21,32,Trelleborg AB|Trelleborg Holding AB|Iterno AB|Trelleborg Forsheda AB|Stifab Plåt Aktiebolag|Printing Solutions Sweden Holding AB|Trelleborg Engineered Systems China Holding AB|MHT Takentreprenören i Malmö Aktiebolag|LEBELA Förvaltnings AB|Trelleborg Moulded Components Wuxi Holding AB|Dormvilfjorton AB|Trelleborg Wuxi Boots Holding AB|Trelleborg Automotive Shanghai Holdings AB|Trelleborg Engineered Systems Qingdao Holding AB|Dormvilfemton AB|Trelleborg Max Seal Holding AB|Trelleborg China Holding AB|Dormviltolv AB|Swedevelop Hospital Aktiebolag|Trelleborg Wheel Systems China Holdings AB|Dormviltretton AB
Moab-Gruppen Holding AB,5565106431,3,48,Ljungberg; Karl Tommy Andreas,4,6,Moab-Gruppen Holding AB|Moab-Gruppen AB|Nils Strömberg AB|Custom Tiling i Ekerö AB
Modern Marine Homes Sweden AB,5566264106,3,60,Svensson; Torbjörn,4,6,Tecomatic Entreprenad AB|Tecomatic Holding AB|Modern Marine Homes Sweden AB|Tecomatic Intressenter AB
MPS Entreprenad AB,5590268321,nan,nan,Krajewski; Oliver,1,2,HSB Bostadsrättsförening Axel Lillie i            Kristianstad
Målarna i Falun Mikael Lusth AB,5567849319,nan,nan,Lust; Thore Mikael,6,7,Byggarna i Falun Mikael Lusth AB|Mikael Lusth Förvaltnings AB|Täkten i Falun Fastighets Aktiebolag|Martisa AB|Stall Zedendahl AB|Bostadsrättsföreningen Byggarnahus nummer 1
Mälarö Fastighets AB,5567759476,4,45,Gustafsson; Håkan,21,13,Mälarö Group AB|Mälarö Fastighets AB|Seniorboende Solgården i Stora Mellösa AB|Vårby Hamnfastighet AB|Oceanen 3.0 AB|Carpetech Bygg AB|Troxhammaräng AB|MF Mark AB|Lennartsnäs Fastighets AB|Älvnäs 2.0 AB|Vendelsö Fastighet AB|Bostadsrättsföreningen Troxhammarterrassen|Mälarö by AB|Bostadsrättsföreningen Bullerbyn Ekerö|Leråker AB|Polhid Holding AB|Älvnäs Hill AB|Fasadväst AB|Mälarö Fastighetshus AB|Uteluft AB|Oceanen 2.0 AB
Mälby Gård Aktiebolag,5564997525,3,50,Lennartsson; Karl Ulf,2,4,Mälby Företagen AB|Mälby Gård Aktiebolag
Mässinteriör Sthlm AB,5562841147,3,58,Hellström; Maria Elisabeth U,2,1,Mässinteriör Sthlm AB|Nessim Fair Support Aktiebolag
NGU I Luleå AB,5567972467,nan,nan,Nyström; Tore Anders,1,4,Arbetsförmedlaren i Norr Aktiebolag
NORDISKA VVS ENTREPRENADER AB,5569783334,nan,nan,Linde; Per Anders,3,3,Scandinavian Inway AB|BRC Scandinavia AB|VVS & Villa Comfort i Stockholm AB
Norrbyggen i Västerbotten AB,5590909114,nan,nan,Häggberg; Klas Jonas,1,8,JH hus i Umeå
Norrländska Husbyggarna AB,5569289290,nan,nan,Bylund; Lars Fredrik,1,2,BLF Investment AB
Norrströmstunneln AB,5567337034,3,55,Angarth; Carina Elisabeth,2,2,Byggs Sprutbetong Aktiebolag|Norrströmstunneln AB
Nya Birstatrappan AB,5569815714,2,65,Funseth; Alf Mikael,8,10,Funseth Holding AB|LTM i Gävle Aktiebolag|N.G. Sundbergs Smidesfirma i Gävle Aktiebolag|Nya Birstatrappan AB|Härjedalens Fastigheter AB|HYRES BOLAGET I SVERIGE AB|Våra Fastigheter i Gävle AB|Våra Fastigheter i Järvsta AB
Nya Swebo Bioenergy AB,5564212065,3,53,Jansson; Björn Mickael,2,10,Biotherm Heat AB|Nya Swebo Bioenergy AB
Nässjö Bygg Aktiebolag,5560574278,2,38,Ekedal; Tommy Birger,3,5,Nässjö Bygg Fastighet AB|Nässjö Bygg Holding AB|Nässjö Bygg Aktiebolag
Odins Åkeri Aktiebolag,5561077941,5,51,Olofsson; Bengt-Erik Valter,8,6,Markentreprenader i Östersund Aktiebolag|KROKOMSBOSTÄDER Aktiebolag|Odins Åkeri Aktiebolag|Markentreprenader Uthyrning i Valne AB|Jämtidrottshallen i Ås AB|Frank Invest AB|Nilsson Invest i Offerdal AB|Markentreprenader Förvaltning i Valne AB
OneOak Services AB,5569089773,nan,nan,Arbestål; Jonas Kurt Erik,3,13,OneOak Holding AB|2G Sweden Holding AB|Arbeståls Jord & Jakt Handelsbolag
Ostrategisk Byggförmedling i Sverige AB,5567438188,nan,nan,Forsberg; Jan Patrik,3,1,Forceburg Real Estates Sweden AB|Forsberg Holding Norden AB|Montage Byggbolaget Mariestad AB
Pandy AB,5590356332,3,30,Hållstrand; Peter Douglas,13,9,Pandy AB|Whirlybird Aircraft Leasing AB (publ)|Greyshirt AB|Samborombon Restaurang och Matbud Aktiebolag|Bostadsrättsföreningen Grev Turegatan 22/         Repslagaren 31|Restandeat AB|Pudge Invest AB|Aktiebolaget Bybacken|Atlantean AB|Hedge Invest 8396 AB|KG MOOD Restaurang AB|Pugna Invest AB|Restandeat i Stockholm AB
Pichano Teknik AB,5563136067,2,54,Melin; Pär Anders Lennart,10,14,Pichano Holding AB|Pichano Teknik AB|Fromells Vip-Teknik Aktiebolag|Sunds Mekaniska AB|Fromells Service Aktiebolag|SuncoTech AB|Pichano Fastigheter AB|Pichano Fastigheter Husum AB|Vassbäcken AB|Malågne AB
PNB Holding AB,5567796916,2,62,Bylund; Johan Niclas,6,9,Bylunds VVS AB|PNB Holding AB|Nordland Design AB|PNB Fastigheter AB|Nordborr i Sundsvall Aktiebolag|Belys Invest AB
Power Heat Mechanical Technologies Sweden AB,5565511978,2,61,Hammarstedt; Per Magnus,7,1,Power Heat Piping South AB|Power Heat Mechanical Technologies Sweden AB|Power Heat Plastic Sweden AB|Promekan Syd|Power Heat Ecoclime AB|Tjuvaröds Brotjänst Aktiebolag|Power Heat Food & Pharma AB
Proline Group AB,5565430971,3,45,Persson; Hans Niklas,6,4,Proline Väst AB|Proline Syd AB|Proline Nord AB|Proline Öst AB|Proline Group AB|ERC Systems AB
Railcare Machine AB,5565023925,3,55,Marklund; Ulf Martin Olaus,14,34,Railcare Group AB|Railcare Aktiebolag|Railcare T AB|Railcare Production AB|Railcare Machine AB|Railcare Lining AB|Elpro i Skellefteå AB|Railcare Lokverkstad AB|ATUMO AB|Matech Marin AB|Kurjovikens Havsmarina AB|Kurjovikens Bränneri AB|UAM Invest AB|Deinceps AB
Regelverket Bygg & Bemanning AB,5590251079,nan,nan,Forsman; Annika Helena,4,8,Byggeriet i Karlstad AB|VMK Värmlands Massage & Komplementärmedicin AB|Palladium i Karlstad Ekonomisk förening|Skönviken AB
Renew Service AB,5568188873,3,47,Ilic; Daniel Alexander Srdjan,7,12,Renew Service AB|Miljö & Trädgårdsservice i Stockholm AB|Ilic Invest AB|Ilic Consulting AB|Hammarby 1:13 Fastigheter AB|NE-NO Holding AB|HSB Bostadsrättsförening Vilunda i Upplands Väsby
Roof and climbing support ROOFAC Aktiebolag,5568168040,4,49,Bäckström; Jan Åke Stefan,4,9,Roof and climbing support ROOFAC Aktiebolag|Rengat AB|Roofac Management AB|SB Control & Holding AB
Rosanders Bygg i Linköping AB,5590062922,nan,nan,Rosander; Anders Jan Folke Ernst,2,3,Rowa Living AB|FSB Gruppen i Linköping
Rosendal Fastigheter i Uppsala AB,5567650972,3,46,Abrami; Goorgen,38,58,Rosendal Fastigheter i Uppsala AB|Kåbo Blomman AB|Uppsala Centrumfastigheter Rosendal AB|Kuarpay AB|Decles AB|Fastindu i Uppsala AB|Fastighetsbolaget Rädisan Rosendal AB|Fastighetsbolaget Bol 3:14 AB|UAbrami Invest AB|EAbrami Invest AB|Vårdsätra Rosendal AB|DAbrami Invest AB|Sustainvr & Architecture i Uppsala AB|DIDMO AB|8110 locator AB|Gabramian Invest AB|Wavelogics AB|Rosendal Trade Center AB|Betalid AB|Rosendal Bostäder D AB|Rosendals Torg Ekonomisk förening|Jällaberg Rosendal AB|HBS Gruppen AB|Holding 5 i Uppsala AB|CAbrami Invest AB|DIDZO AB|Holding 8 i Uppsala AB|Ekoföreningen Trädgårdsmästaren i Uppsala         Ekonomisk förening|Holding 4 i Uppsala AB|Holding 3 i Uppsala AB|Holding 7 i Uppsala AB|Sagverket Knivsta Rosendal AB|HBS Venture AB|Holding 6 i Uppsala AB|Bostadsrättsföreningen Rektorsvillan|Rosendal Entré Ekonomisk förening|Holding 2 i Uppsala AB
RUSTABO AB,5563121382,nan,nan,Puhakka; Saul Mikael,2,7,Stäppan Consulting AB|Gårdsmark Sverige AB
Rätt man nu AB,5590996400,2,46,Karlsson; Johan Vilhelm,3,2,Rätt man nu AB|JVP Bygg & Konsult Handelsbolag|JVK Transport & Konsult
Rätt man nu AB,5590996400,2,46,Karlsson; Magdalena,2,8,Rätt man nu AB|Rätt man nu Entreprenad AB
Rönngren-gruppen AB,5561653121,nan,nan,Rönngren; Anders Mikael,2,12,Stenmästarna i Sverige AB|Rönngren Mark & Trädgård Försäljning AB
Sekel Svenska AB,5567122824,2,66,Malmqvist; Lars Göran,3,7,Vedeldning i Stockholm AB|Sekel Svenska AB|Nettopumpen
Settler Rail AB,5590887104,nan,nan,Grelsson; Nils Jan Patrik,8,10,Ko-Lars Aktiebolag|GePa Ytbehandling AB|BI-Lars AB|Best Rail Sweden AB|Industrifastigheten 7:10 i Gävle AB|Tellfleet Sverige AB|Varva Fastighets AB|Dammsjöstigen AB
SHG Markteknik AB,5590369376,4,50,Huss; Per Stefan,5,24,SML Invest AB|Stenhusgruppen AB|Stenhusgruppen Mark och Hus AB|Tractare AB|SHG Markteknik AB
Stockholms Elektriska I Sverige AB,5569194631,nan,nan,Rodhe; Micael Rickard,2,4,M. Rodhe AB|RSE Sverige AB
Stuckbema Group AB,5568188311,2,61,Larsson; Jan Göran,6,15,Stuckbema AB|SMP Putsprodukter AB|Stuckbema Group AB|Jahopp AB|J G Larsson Fastigheter AB|JG Larsson Holding AB
Svensk Trälackering AB,5564464484,3,46,Höglund; Per Anders,5,5,Svensk Trälackering AB|Excalibur Holding Aktiebolag|Elotech Aktiebolag|Papiren Bokföring AB|Hammarö Miljösystem Aktiebolag
Sydcon AB,5567241889,3,53,Möllerström; Mats Fredrik,1,1,Sydcon AB
SÖDERTÖRNS BYGG & FÖRVALTNING Aktiebolag,5568885684,nan,nan,Larsson; Anders Henrik,1,6,Bostadsrättsföreningen Calara 1
SÖDERTÖRNS BYGG & FÖRVALTNING Aktiebolag,5568885684,nan,nan,Morelius; Johan Karl,2,4,Södertörns Bygg & Konsult AB|EM Rör AB
TakXperten Eskilstuna AB,5567490577,2,61,Hoffström; Ulf Christer Tomas,4,5,TakXperten Stockholm AB|TakXperten Eskilstuna AB|CFT Systems AB|TakXperten Sverige AB
Team Betongsågning TBTS AB,5569661431,3,48,Klerebrink; Thom Niclas,4,0,Team Håltagarna TB AB|Team Betongsågning TBTS AB|Jokle Concrete AB|Camisöto AB
Termeco AB,5564380896,4,53,Carlsson; Per Håkan Patrik,4,2,Termeco AB|Svava fh AB|Divet Aktiebolag|LEGNYT AB
The Handyman i Norden AB,5569703837,2,46,Widerberg; Tony Robert,2,4,The Handyman i Norden AB|Tony The Handyman
Thomas Bengtsson Entreprenad AB,5567055669,2,50,Bengtsson; Thomas Olov,1,0,Thomas Bengtsson Entreprenad AB
TOP Fibre AB,5567426415,nan,nan,Ljung; Per Anders Ivar,2,3,Topfibre AB|Topfibre Holding AB
Torv & MaskinEntreprenader i Karlskoga Aktiebolag,5563048072,2,60,Alanen; Anne-Mari,5,10,Lyft & Kran i Karlskoga AB|Torv & MaskinEntreprenader i Karlskoga Aktiebolag|Karlskoga Hästmässa Ek. för.|Nya Svensk Design i Karlskoga AB|Alanen Holding Aktiebolag
TSS Train Station Service AB,5562880277,2,36,Thydén; Tobias Ebert Tor,3,2,Samporten Sverige AB|TSS Train Station Service AB|Tobias Thydén AB
U.R. Plåt & Smide Aktiebolag,5563430429,3,54,Söderlund; Lenny Christian Glenn,5,8,U.R. Plåt & Smide Aktiebolag|Glönnen AB|LGS Service AB|Värdshuset Gripen i Stallarholmen AB|L&R SöderInvest AB
UmeAssistance Fastigheter AB,5564597077,4,54,Hansson; Erik Mattias,7,8,UA Gruppen Holding AB|Ume Assistance AB|UmeAssistance Fastigheter AB|UAF Kabeln AB|UmeAssistance Fastigheter i Röbäck AB|UmeAssistance Dåva AB|Ume Assistance Fastigheter i Sävar AB
Uppsala Sport & Profil AB,5569669004,6,45,Lööv; Klas Mats Erik,1,1,Uppsala Sport & Profil AB
Värmecenter VVS & Kyla i Karlskoga AB,5568650708,nan,nan,Granroth; Jani Petri Olavi,1,10,Värmeservice i Örebro
Västergrund Segling och Byggkonsult AB,5590096219,nan,nan,Ädel; Oscar,2,3,Södertörns byggproduktion AB|MTP Consulting AB
ÖBL Ventilation AB,5565872032,nan,nan,Johansson; Billy Mats Gunnar,1,5,MG Konsult
Östgöta Byggresurs AB,5568379381,3,42,Natanaelsson; Karl-Johan,4,4,Östgöta Byggresurs AB|Skapa Partner i Norrköping AB|N & N Holding AB|N&N Drothem AB
Östmans Plåtslageri Stockholm AB,5569643850,nan,nan,Holm; Sune Peter,2,3,Holms Bleck & Plåt|PEHN Investment & Consulting AB
