name,id,number_of_board_members,avg_age_of_board,total_active_assignments,total_prev_assignments
Ahl Ström AB,5568682396,2,53,nan,nan
Ahlboms Måleri Aktiebolag,5563594174,2,45,nan,nan
Ahlel i Stockholm AB,5566190236,2,46,nan,nan
Ahlin & Delings Elektriska AB,5590195847,4,56,2,1
Ahlins Plåt Aktiebolag,5563185783,2,57,6,8
Ahlkvist & Joakim Montage AB,5562304559,2,57,nan,nan
Ahlnings Byggtjänst AB,5562216845,4,48,nan,nan
Ahlqvist Fastighetsservice AB,5569387532,2,56,nan,nan
Ahlqvists Brunnsborrning Aktiebolag,5564083052,4,47,2,1
Ahlsröd Industrigolv AB,5565683355,2,43,nan,nan
Ahola Byggnadsplåt AB,5565290201,3,46,nan,nan
Ahrling & Östinge Trädgårdsanläggningar Aktiebolag,5561607259,2,75,3,15
Värmlands Sjö & Markentreprenad AB,5566640909,3,44,nan,nan
AIB Stockholm AB,5566384870,2,42,nan,nan
AIMEK Byggteknik Aktiebolag,5565705521,3,69,nan,nan
Air 4 You Sweden AB,5569570855,3,51,1,1
AirControl i Borås AB,5566025226,2,54,nan,nan
AJ Betonghåltagning AB,5566783642,2,50,nan,nan
AJ El & Industriservice i Söderhamn AB,5567568679,2,45,nan,nan
AJ Magnusson & Lyckman Bygg AB,5567837363,3,45,nan,nan
AJ Mur & Puts AB,5590595640,2,45,nan,nan
AJ Nord Entreprenad AB,5568421860,3,42,nan,nan
AJAB Brand AB,5567693931,2,44,nan,nan
AJN Bygg AB,5568044886,2,50,nan,nan
AJS Måleri AB,5563762979,3,44,nan,nan
AK Glas och Bygg AB,5568109689,2,44,nan,nan
AK Riv & Sanering Aktiebolag,5566750773,2,43,nan,nan
AK Schakt o Entreprenad AB,5567775282,3,57,3,7
AKarlsson Invest AB,5569263329,2,43,4,3
AKD Bygg & Kakel AB,5567624118,3,32,3,3
Akira AB,5562597350,,,0,0
Akka Egendom Vålberg AB,5567090997,3,50,nan,nan
AKOBE El & Bygg AB,5568378359,2,59,nan,nan
AKON Service i Norrköping AB,5566650247,3,58,nan,nan
AKON Service i Stockholm AB,5564838182,3,58,nan,nan
Akrima Bygg Aktiebolag,5561826099,2,51,2,2
AKs Plåtslageri & Takläggning i Tranås AB,5565962106,2,50,nan,nan
Aksbud AB,5569234718,2,46,nan,nan
Aktiv El i Kristianstad AB,5569162653,2,63,nan,nan
Aktiv Måleri Aktiebolag,5562990605,2,51,3,0
Aktiv Service Markarbeten Stockholm AB,5563669513,2,63,nan,nan
Aktiv Sol i Nöbbele AB,5568369937,2,59,5,12
Aktivel i Växjö Aktiebolag,5566360813,2,39,nan,nan
Akustik Entreprenader Bo-Ings Aktiebolag,5562879394,2,44,nan,nan
Akustik Kungen i Stockholm AB,5569035800,2,39,nan,nan
Akustikmontage i Söderhamn AB,5564476702,2,51,nan,nan
Akustik och Undertakshuset i Norrköping AB,5567428999,2,60,nan,nan
Akustik System Värmland AB,5590452966,2,47,nan,nan
AKUSTIK TEAM AB,5590144605,3,42,nan,nan
Akustik & miljö i ÖSTERSUND AB,5566792718,2,48,nan,nan
Akustik & Montage i Jönköping AB,5569106064,6,44,nan,nan
Akustikbolaget i Sverige AB,5590342597,4,60,nan,nan
Akustikdesign i Västerås AB,5564958378,3,58,nan,nan
Akustikgruppen i Borås Kommanditbolag,9696390187,2,53,nan,nan
Akustikmontage i Borlänge AB,5565893657,2,57,2,5
Akustikmontage i Borås Aktiebolag,5562306927,2,64,nan,nan
Akustikmontage NV Skåne AB,5566890090,2,60,nan,nan
Akustikservice i Halmstad Aktiebolag,5563889418,2,49,nan,nan
Akustiksystem i Nyby AB,5569265597,2,51,nan,nan
Akustikverkstan Montage AB,5590499660,4,38,3,3
AKZ Bygg & Fasad AB,5569751000,2,38,nan,nan
Lundquist Plattor & Mattor AB,5568310774,3,50,2,5
AL Lundgrens Entreprenad i Arvidsjaur Aktiebolag,5565336350,2,54,nan,nan
Total Entreprenad i Motala AB,5563111102,7,52,2,1
Alafors Plåtslageri & Försäljning AB,5562950492,2,56,nan,nan
Alarma Aktiebolag,5566011929,3,58,nan,nan
Alaskagårdens Byggnads AB,5568878036,2,36,nan,nan
Alatom Bygg AB,5591010607,4,56,nan,nan
Albert Engstrands Golvfirma Aktiebolag,5561326165,4,54,2,4
Albi Entreprenad AB,5590090584,2,37,nan,nan
Albin Mur & Puts AB,5590631734,2,46,1,1
Albins Interiör & Bygg AB,5569100968,2,46,nan,nan
Albins Maskinservice AB,5565024527,2,51,nan,nan
Albinssons Rör i Vänersborg AB,5569260895,2,44,nan,nan
Alcons Balkongentreprenad AB,5565870176,3,56,nan,nan
Aldéns EL AB,5569287948,2,48,6,3
Ale Betongborrning AB,5566244629,2,54,nan,nan
Ale Bygg och Måleri AB,5569096455,2,56,nan,nan
Ale Bygg & Snickeri AB,5590336474,2,58,nan,nan
Ale Maskintjänst AB,5569953366,2,49,nan,nan
Ale Portar AB,5591075469,3,47,2,5
Ale Rör AB,5565550018,3,47,nan,nan
Ale Ståldörr AB,5566720297,2,63,nan,nan
Alectron Elteknik AB,5568173263,2,49,nan,nan
Alekan AB,5569521593,2,57,nan,nan
ALEX B byggnadsställningar AB,5567142277,2,44,nan,nan
Alex O. Byggteknik AB,5566971965,2,36,nan,nan
Alexander Byggare Stockholm AB,5590445341,2,31,nan,nan
Alexanderssons Elektriska Aktiebolag,5561362624,3,63,4,4
Alf Carlssons Byggnads AB,5561495051,2,70,nan,nan
Alf Ericson i Lerum Elektriska AB,5566650973,2,42,3,1
Alf Forsbäck Ventilation AB,5566328034,1,48,nan,nan
Alf Näslunds Eltjänst AB,5564256039,2,46,nan,nan
Alfredsro bygg AB,5569726721,2,43,nan,nan
Alfta Elektriska AB,5569541120,2,44,nan,nan
ALija Ferhatovic Byggservice AB,5569156044,2,44,nan,nan
Alingsås Byggkonsult AB,5590777883,2,46,1,10
Alingsås El och Teknik AB,5569457897,4,41,nan,nan
Moberg Fog & Brand AB,5563170967,4,41,nan,nan
Alingsås Golvtjänst Aktiebolag,5563967941,2,68,nan,nan
alingsås isolering AB,5564727336,2,51,nan,nan
Alingsås Låsservice Aktiebolag,5561587956,2,63,nan,nan
Alingsås Sprängtjänst Aktiebolag,5561511683,3,60,nan,nan
Alingsås Takläggning Aktiebolag,5562484161,,,nan,nan
All El Gotland AB,5567159313,2,36,nan,nan
All Fasad i Sverige AB,5590890488,4,49,14,27
All Snickeri & Design i Stockholm AB,5569286270,2,36,nan,nan
Allakustik Underbara Tak GBG AB,5590263074,5,48,7,1
Allan Eriksson Mark Aktiebolag,5564373669,5,54,4,0
Allan M. Olssons Byggnads Aktiebolag,5561918664,4,61,nan,nan
Allan Nybergs Byggservice Aktiebolag,5561891549,2,47,nan,nan
Allan:s Lås & Larm AB,5565743076,2,65,nan,nan
Allard Hvengaard Konsult AB,5590671193,2,47,nan,nan
Allas Glasmästeri i Stockholm Aktiebolag,5562719954,4,54,nan,nan
allbetong i Fjärdhundra AB,5568512361,2,47,1,3
Allbygg i Hultsfred AB,5563223436,3,45,nan,nan
Allbygg Vedum AB,5569486045,5,39,nan,nan
Allbygg & Entreprenad Vikbolandet AB,5568803992,2,38,2,1
Allbygg & VVS Svenska AB,5566530365,3,39,nan,nan
Allbyggar'n i Karlskoga Aktiebolag,5562811454,2,64,nan,nan
Allcabo Entreprenad AB,5590522644,2,43,nan,nan
Allehanda Glas i Uppsala AB,5566360235,3,45,nan,nan
ALLELISTAN AB,5566634878,2,48,nan,nan
Allent AB,5566342589,2,53,4,11
Allerby Måleri AB,5562995828,2,50,14,16
Allfix Bokenäs AB,5569122541,3,53,4,2
ALLGLAS & Claesing Fastighets Service AB,5562812577,2,58,1,9
Allhiss Sverige Aktiebolag,5564102472,,,3,8
Allisolering I Vällingby Aktiebolag,5563728061,2,65,nan,nan
Allklimat Fastigheter AB,5568402019,3,33,2,1
Allmänna El Motala AB,5566450861,2,51,nan,nan
Allmänna Rörjouren i Sollentuna AB,5567877674,2,54,2,1
Allpipe Sverige AB,5590506191,3,38,3,0
Allrör i Frillesås Aktiebolag,5569283905,2,50,nan,nan
Allschakt Miljö Varberg AB,5590247036,3,50,4,1
Allservice Gruppen i Stockholm AB,5567887962,2,54,nan,nan
Allservice i Skövde AB,5566501903,3,45,nan,nan
Allt i Berg AB,5566925250,3,45,nan,nan
Allt i Bygg Stockholm AB,5567246516,2,55,nan,nan
Allt i Bygg - Håkan Blom Aktiebolag,5564258589,2,58,nan,nan
Allt i El i Maglehem Aktiebolag,5561934166,2,51,nan,nan
Allt i El; Nils-Eric Nilsson Aktiebolag,5562254234,2,63,nan,nan
Allt i Murning i Karlshamn Aktiebolag,5561924985,4,45,2,4
Allt i Tak Entreprenad AB,5565025441,2,55,nan,nan
Allt inom Smide & Rostfritt                       i Jordbro AB,5568833924,2,63,3,8
Alltag AB,5568799984,2,53,nan,nan
Alltek i Kumla AB,5566743893,2,49,nan,nan
ALLTEK Uppsala AB,5566384953,2,51,2,7
ALLTISOL AB,5568292964,2,39,nan,nan
ALLTRAC MARKENTREPRENAD Aktiebolag,5564128469,2,54,3,2
Allwi Produkter AB,5569987554,6,42,10,11
All-Entreprenad & Konsult i Eskilstuna AB,5566314109,3,58,nan,nan
All-Round Kyl Aktiebolag,5562054022,3,43,nan,nan
All-Round Låsservice Aktiebolag,5561203083,2,42,2,2
All-Service i Levene AB,5568716525,2,41,nan,nan
All-Sten Förvaltning i Kiruna AB,5567247480,2,53,nan,nan
All-Sten i Kiruna AB,5566388814,3,56,nan,nan
All-Svets Energi Aktiebolag,5562432640,3,41,1,0
Almekärrs Byggnads AB,5564279395,2,59,nan,nan
Almgren och Strömberg Plåtslageri Aktiebolag,5561828855,2,68,nan,nan
Almquist Bergsprängning AB,5568919483,2,50,nan,nan
Almqvist Maskin i Nykvarn AB,5568965452,2,45,nan,nan
Almqvist Åkeri i Nykvarn AB,5567564710,2,45,nan,nan
Almroth Construction AB,5591050553,2,54,9,6
Almström & Ogebratt Bygger AB,5567372817,4,58,nan,nan
Alpholmen Produktion AB,5567337505,4,39,2,2
Alpid AB,5567001572,2,55,8,3
Alrik's Entreprenad AB,5569541971,2,32,nan,nan
Alrikssons i Sexdrega AB,5568855091,2,42,nan,nan
ALSA Säkerhet & Inredning AB,5566859434,2,52,nan,nan
Alsike Plattsättning AB,5568798614,2,62,3,10
Alsingevallens Bygg AB,5568517188,3,60,nan,nan
Alstermark Bygg & Konsulting Aktiebolag,5565234522,3,57,4,2
Alstermo Byggservice AB,5567645964,4,43,nan,nan
Alstermo Entreprenad AB,5561579540,4,39,1,3
Alstermo VVS AB,5569643124,4,52,nan,nan
ALT Hiss Göteborg AB,5565543955,3,61,6,3
ALT Hiss Norrköping AB,5567280440,4,52,6,3
ALT Hiss Stockholm AB,5566864434,3,61,6,3
ALTA Ställningar AB,5590408349,3,34,nan,nan
Altbergs Plåt Aktiebolag,5561783100,1,64,nan,nan
Alterra Sverige AB,5590928593,3,53,nan,nan
Althin Entreprenad AB,5566998877,2,61,nan,nan
Altum Service AB,5567632103,2,46,nan,nan
Altuna Bygg och Mekaniska AB,5567549521,2,40,nan,nan
Alu Bygg i Stockholm AB,5567968200,2,45,nan,nan
Alulux CCT Aktiebolag,5561981944,3,54,nan,nan
AluminumSteelConstruction Sweden AB,5569018723,2,42,1,0
Alumont Byggnation AB,5569746778,3,33,nan,nan
Alunda bygg AB,5566111299,2,48,nan,nan
Alural Balkongbeklädnad Aktiebolag,5563250264,3,57,nan,nan
Alutorp Bygg AB,5565700662,2,49,1,2
ALU-FORMA D.O.O.,5020786595,,,nan,nan
Alvdapa Aktiebolag,5564475969,3,53,8,6
Alvema Bygg&Design AB,5569367757,2,44,nan,nan
Alverdens Aktiebolag,5565614020,2,46,nan,nan
Alvesta Byggnadsaktiebolag,5561615906,6,53,nan,nan
Alvesta Elinstallationer AB,5563981652,6,48,nan,nan
Alvesta Fasadrenovering AB,5566073176,2,66,nan,nan
ALVESTA KOMMUN,2120000639,,,nan,nan
Alviks elektriska AB,5569445496,2,36,5,2
Alviks Måleri i Uppsala AB,5566396924,4,57,2,0
Alviks Traktor Aktiebolag,5562651066,3,55,8,9
Alvinssons Aktiebolag,5562926278,5,55,nan,nan
ALWA AB,5565509212,3,61,nan,nan
AM Aros Måleri AB,5590255062,2,50,2,7
AM Byggservice AB,5590065958,2,41,nan,nan
AM Construction AB,5590476668,3,43,nan,nan
AM Elektriska AB,5565155529,3,53,nan,nan
AM Elteknik AB,5569516262,2,50,nan,nan
AM Vent-Bygg AB,5590046016,,,nan,nan
AMB Fönsterrenovering AB,5568150030,2,42,nan,nan
Amberhus AB,5566403480,3,54,nan,nan
AMBES EL Aktiebolag,5564359718,2,58,nan,nan
Ambjörby Rör AB,5567720320,2,53,nan,nan
Ambjörnarps Bygg AB,5565942637,2,47,nan,nan
Ambjörnarps Plåtslageri AB,5568945785,4,52,nan,nan
Ambra AB,5565317806,4,46,5,3
Ambra Nord AB,5563833531,3,47,5,3
AMBRO AB,5566137286,3,63,nan,nan
AMD EL AB,5590357181,3,28,nan,nan
AMDEX Bygg Aktiebolag,5569789414,2,71,nan,nan
Amevi Aktiebolag,5564171923,2,62,nan,nan
Amex Solskydd AB,5567276042,4,41,4,5
AMEXO AB,5567144141,,,nan,nan
Amfix AB,5568065329,2,41,nan,nan
Amhult Bygg & Kakel AB,5569674384,2,46,nan,nan
AMLÖVS BYGGNADSBOLAG KOMMANDITBOLAG,9572008853,,,nan,nan
Ammedalens bygg AB,5564107430,2,54,nan,nan
Amnelinds Gräv AB,5569634305,2,68,nan,nan
Amtee Production Aktiebolag,5564644499,2,57,nan,nan
Amtor Scandinavia AB,5566824248,,,nan,nan
AMW Rör AB,5590813514,2,41,nan,nan
AM-Berglund AB,5568179658,2,46,nan,nan
AN Rivservice AB,5569483380,2,53,nan,nan
Anculusbygg AB,5567738504,4,46,2,3
Anderod AB,5568471261,2,41,nan,nan
Anders Anderssons Rör AB,5567094635,2,61,nan,nan
Anders Aspgren Bygg AB,5565793105,2,55,nan,nan
Anders Bengtssons Byggnads Aktiebolag,5561241844,3,44,nan,nan
Anders Berglund Golv Aktiebolag,5564197993,2,54,nan,nan
Anders Björkmans Måleri Aktiebolag,5562967868,2,62,nan,nan
Anders Brandts Entreprenad AB,5567075667,2,42,nan,nan
Anders Daggert Bygg & Mark AB,5568302508,2,46,nan,nan
Anders Effort Ventilation AB,5567048078,2,54,nan,nan
Anders Einar Bygg AB,5567418909,2,59,nan,nan
Anders Eriksson Kakel AB,5568691272,3,48,nan,nan
Anders Eriksson's Mureri o Plattsättning AB,5567421754,2,53,nan,nan
Anders Erikssons VVS Aktiebolag,5564475373,3,45,nan,nan
Anders Forslunds Schakt & Entreprenad AB,5566055082,3,54,nan,nan
Kakel & Golventreprenad i Norrtälje AB,5563326825,4,45,nan,nan
Anders Granberg Entr. Aktiebolag,5564440096,2,52,nan,nan
Anders Gustav Bygg AB,5568159502,2,59,nan,nan
Anders H. Rör AB,5565368908,2,61,nan,nan
Anders Hedlund Byggnads AB,5569754863,3,60,5,3
Anders Henriksson Måleri och Form AB,5567952394,2,59,nan,nan
Anders Högberg Byggnadsaktiebolag,5560751397,2,68,nan,nan
Anders Jansson Bygg Aktiebolag,5564527827,2,53,nan,nan
Anders Jansson Måleri AB,5567638779,2,50,nan,nan
Anders Karlssons Åkeri i Hälsingfors AB,5567680235,2,60,nan,nan
Anders Kämpe Totalentreprenad AB,5567764542,2,52,nan,nan
Anders Lantbruk & Maskin AB,5569574360,2,51,nan,nan
Anders Last & Schakt AB,5565787644,2,62,nan,nan
Anders Lindstedt Entreprenad Maskinservice AB,5566292446,2,52,nan,nan
Anders Ljungström Bygg & Montage AB,5568674161,2,53,nan,nan
Anders Lööws Måleri AB,5568400526,3,46,nan,nan
Anders Murare AB,5568520901,2,45,nan,nan
Anders Pettersson Bygg Gamleby AB,5567844203,2,51,nan,nan
Anders Produktion AB,5567008197,2,55,7,6
Anders R Nilsson Måleri Aktiebolag,5561787036,3,47,nan,nan
Anders Sigg Elutveckling AB,5566167770,2,55,nan,nan
Anders Strömbergs Montage AB,5566632773,2,54,nan,nan
Anders Söderbergs Schakt & Sprängning AB,5567492722,2,56,nan,nan
Anders Takservice AB,5568170517,2,55,nan,nan
Anders Westlunds Entreprenad AB,5567501845,3,51,nan,nan
Anders & Christian El AB,5568209521,4,48,4,10
Andersson Bygg i Helsingborg AB,5568050529,2,40,nan,nan
Andersson Bygg i Luleå AB,5569735169,6,46,nan,nan
Andersson Bygg & Takentreprenad AB,5568738198,2,48,nan,nan
Andersson i Köping AB,5565830840,2,66,nan,nan
Andersson Måleri i Torsås AB,5567005821,2,55,nan,nan
Andersson Måleri i Tranås AB,5567745285,2,51,nan,nan
Andersson & Bivegård Byggare Aktiebolag,5563524924,3,56,nan,nan
Fröding Bygg & Fix AB,5567193379,2,39,nan,nan
Andersson & Jansäter Entreprenad AB,5565846689,2,48,nan,nan
Andersson & Julle Plåt Eftr. Aktiebolag,5564801313,3,56,nan,nan
Andersson & Keller AB,5568563034,4,54,nan,nan
Andersson & Ljungblad Byggnads Aktiebolag,5564182540,2,54,nan,nan
Andersson & Nilsson Rör & Oljeinstallationer      Aktiebolag,5562537067,3,57,nan,nan
Andersson & Olsson Plåtslageri Aktiebolag,5562395607,2,53,nan,nan
Andersson & Ärneman Aktiebolag,5560320938,3,53,nan,nan
Anderssons Bygg & Fastigheter i Skellefteå        Aktiebolag,5566701040,2,55,nan,nan
Anderssons Bygg & Pool AB,5590223839,,,0,0
Anderssons Elbyrå i Ankarsrum Aktiebolag,5561476481,2,45,nan,nan
Anderssons Elektriska i Stockholm AB,5567964522,3,46,1,0
Anderssons Glasmästeri i Västervik                Aktiebolag,5564878311,2,53,nan,nan
Anderssons Maskingrävning i Hyssna AB,5567632806,3,45,nan,nan
Anderssons Maskingrävning i Kungsbacka AB,5567686323,2,47,nan,nan
Anderssons Måleri; Keller & Glenn Aktiebolag,5564244076,2,54,nan,nan
Anderssons Rörservice i Strängnäs Aktiebolag,5562271352,3,52,nan,nan
Anderssons VVS AB,5568163058,3,38,nan,nan
Anderssons Åkeri och Entreprenad i Ravlunda AB,5562013911,2,42,nan,nan
Anderstorps Elservice Aktiebolag,5562308089,3,38,nan,nan
Anderö Murverk Plattsättning AB,5567299846,2,55,nan,nan
André Konsulting AB,5568939739,2,51,4,12
Andreas Andersen AB,5567532345,2,59,2,11
Andreas Bodin Bygg AB,5569654550,2,56,nan,nan
Andreas Hagmans Grävmaskiner AB,5590323688,3,29,5,3
Andreas Jöhnemark byggnadsfirma AB,5566649892,2,54,nan,nan
Andreas Malmbergs Byggservice AB,5569846859,2,43,nan,nan
Andreas & Björn Västentreprenad AB,5568923915,4,48,nan,nan
Andreas & Thomas VVS i Skutskär AB,5568199268,4,49,nan,nan
Andréasons El Aktiebolag,5562203488,4,57,nan,nan
Andréasons Plåtarbeten AB,5566201975,4,58,3,0
Andreasson & Lindh Entreprenad AB,5566362637,3,41,2,5
Andreassons Rörsvets & Montage i Billesholm AB,5569901209,3,41,nan,nan
Andrej & Söner Bygg Aktiebolag,5566529573,3,51,nan,nan
ANDREM AB SP. Z O.O.,5020751771,,,nan,nan
ANDREMA Byggservice AB,5565384111,,,nan,nan
Andrés Måleri AB,5566171939,2,50,9,16
Andwe Bygg AB,5566148267,3,43,1,0
Anegra AB,5569877813,3,46,nan,nan
Anetoft Måleri AB,5567840623,,,nan,nan
ANFRO AB,5567865521,2,58,4,1
Angereds byggservice AB,5569841736,2,53,nan,nan
Angseruds Kakel AB,5569959736,2,41,9,7
ANÍBAL DE OLIVEIRA CRISTINA. LDA,5020729249,,,nan,nan
Ankarberg Bygg AB,5569403966,2,45,nan,nan
ANKARSTAM LINKÖPING AB,5563058733,3,49,nan,nan
Anläggarna i Kalmar AB,5567004436,4,45,nan,nan
Anläggning & Bygg Kungälv AB,5566446422,3,51,nan,nan
Anläggning & Maskin Peter Sjölander AB,5564084571,2,43,nan,nan
Anläggningsspecialisten i Strängnäs AB,5567443741,2,46,nan,nan
ANLÖ Grund AB,5590527130,,,nan,nan
Anna Badrum & Byggspecialisten AB,5567816136,2,40,nan,nan
Annebergs Elektriska Aktiebolag,5561558890,4,52,nan,nan
Annebergsvägens Tak AB,5568616295,2,49,nan,nan
Annedal Bygg och Badrum AB,5590419643,2,44,2,0
Annefors Entreprenad AB,5567275960,4,57,nan,nan
Annelunds Tak AB,5566601299,4,47,4,1
Annesjöns Entreprenad Aktiebolag,5566463039,2,44,nan,nan
ANNOs Elinstallationer AB,5569292260,2,50,5,2
ANP Bygg & Transport AB,5568303613,2,57,nan,nan
ANRECON AB,5569505745,2,47,nan,nan
ANRO AB,5569707887,2,54,nan,nan
ANSI Säkerhetsdörrar AB,5569399289,2,63,nan,nan
ANSS i Malmö AB,5567489215,2,51,nan,nan
Antenngubben Aktiebolag,5569554768,4,60,6,6
Antenn-Zon Gimgöl Aktiebolag,5563276806,5,45,nan,nan
Antnäs Timmerhus AB,5567459317,2,54,nan,nan
Anton Edholm AB,5569345027,2,33,nan,nan
Anton Åhs Entreprenad AB,5568554744,2,47,nan,nan
Anton & Dennis Bygg & VVS AB,5569349227,3,38,nan,nan
Antons Schakt & Entreprenad AB,5566167085,2,47,nan,nan
Antopus Concrete Solution AB,5569778888,3,48,2,8
Antos Bygg & Plåt AB,5567199616,2,50,nan,nan
Anund Bygg & Lagerservice AB,5569607632,2,60,nan,nan
AP Sprängtjänst AB,5566843750,2,42,nan,nan
APC Elinstallatören Aktiebolag,5564730801,7,57,9,7
Apells Plåtslageri i Göteborg Aktiebolag,5563846095,2,49,nan,nan
Apelryds Bygg AB,5569445744,1,50,nan,nan
Apira Solutions Kommanditbolag,9696822866,1,39,nan,nan
Aplareds Gräv & Anläggning AB,5567768329,2,48,3,4
APM Sport & Import Aktiebolag,5563758787,2,52,nan,nan
APPAB AB,5567763478,3,46,nan,nan
APPEARIT AB,5564468410,2,46,nan,nan
Appelgrens Elektriska Service Partille AB,5565393187,2,58,nan,nan
Appelquists Måleri Aktiebolag,5564189354,2,41,nan,nan
Applikator Måleri Aktiebolag,5563081271,2,48,nan,nan
Apptek Teknik Applikationer AB,5566658521,2,59,nan,nan
Apptronic Elteknik AB,5566977970,6,60,3,4
ApQ Power AB,5590038849,3,57,9,13
APS Bygg & Mark AB,5569314650,,,nan,nan
APT BYGGEN AB,5569244444,2,42,nan,nan
AP-DP BYGG AB,5568064140,4,39,nan,nan
AQT Elservice AB,5565629929,3,48,nan,nan
Aqua Energiborrning i Jämtland AB,5566932686,3,45,nan,nan
Aqua VVS i Rimbo AB,5567661557,3,51,nan,nan
Aquabygg AB,5567377204,2,40,2,4
Aquagripp Service AB,5569447914,2,48,nan,nan
AQUARENA FREIZEITANLAGEN GMBH,5020728936,,,nan,nan
Aquasol AB,5561521658,3,46,1,3
Aquila Entreprenad AB,5564265709,2,52,nan,nan
AR Belysningsteknik AB,5567167480,4,46,3,1
AR Bygg Aktiebolag,5564615556,3,64,25,49
AR Stenentreprenad AB,5566962519,2,57,nan,nan
AR Vallhamra Servicefastigheter AB,5568589823,3,57,52,119
Arac-Elektriska Aktiebolag,5560683152,3,64,1,2
ARBETO AB,5567772099,2,44,nan,nan
Arboga El-team AB,5566511787,2,52,nan,nan
Arboga Golv & Vägg Aktiebolag,5562418433,4,48,nan,nan
ARBOGA KOMMUN,2120002122,,,nan,nan
Arboga Rörservice AB,5569558504,2,55,nan,nan
Arboga-Kungsör Plåt Aktiebolag,5561481408,,,nan,nan
Arbrå Hissystem AB,5569721466,4,58,nan,nan
ARCE CLIMA SISTEMAS Y APLICACIONES SL,5020779665,,,nan,nan
Arctic Bygg AB,5568638695,2,43,nan,nan
Arctic Kvartsit Stenentreprenad AB,5590978796,4,63,nan,nan
Arctic Mobile AB,5567228654,3,43,nan,nan
Ardala Maskintjänst AB,5566488739,2,58,nan,nan
ARDEI GROUP AB,5590561998,2,30,2,1
Areco Properties AB,5564513231,2,47,nan,nan
Aréens Entreprenad AB,5569400194,2,47,nan,nan
Aremera AB,5569278160,2,36,nan,nan
Arena Papp & Plåt AB,5569784506,,,0,0
Arena Tak AB,5590760707,3,50,3,0
Argenta Måleri & Fastighetsservice AB,5566001284,,,nan,nan
Argocon AB,5591088546,6,49,nan,nan
Arian Nova AB,5569041105,2,58,nan,nan
ARITMA AB,5567193411,2,52,nan,nan
ARJEPLOGS KOMMUN,2120002668,,,nan,nan
Arjeplogs Mark & Teknik AB,5567669287,2,58,nan,nan
Arka Golv & Måleri AB,5590066071,3,48,3,1
Arkitekt & Byggservice i Stockholm AB,5590107925,4,57,4,3
AKrit Hus AB,5590329107,2,48,6,9
Arkitektrör AB,5566816509,2,68,nan,nan
ARKOR Bygg AB,5590614359,2,37,1,1
Arktiska Bygg & Entreprenad AB,5590578653,3,52,nan,nan
Arkö Bygg och Entreprenad AB,5568383359,4,32,nan,nan
Arlanda Måleri Aktiebolag,5564531928,3,52,nan,nan
ARMBET AB,5569415663,2,42,nan,nan
ARMENTA Mark & Betong AB,5590087259,2,55,7,11
Arne Klang Bygg AB,5567408892,2,55,nan,nan
Arne Lundquist Golv och Industri i Umeå Aktiebolag,5566724372,3,49,10,9
Arne Lundquist Måleri Aktiebolag,5560831223,4,52,5,10
Arne Lundquist Måleri i Umeå AB,5567328470,3,50,4,3
Arne Nilsson Fönsterrenoveringar AB,5562097849,2,52,nan,nan
Arnell Byggmaskiner Aktiebolag,5563866846,2,62,nan,nan
Arnells Mark & Sten AB,5566461983,2,49,nan,nan
Arnes Byggtjänst i Sotenäs Aktiebolag,5564835170,2,43,nan,nan
